
                                                                                Prime factors of 3^k - 2^k for k <= 300


   k   |                                                                               Prime factors of 3^k - 2^k
   126 | 5 7 7 19 29 43 71 127 463 577 1009 3529 6217 7687 92233 110251 278775379 194208941809
   127 | 509 5486877171767 355546148894851 3957859287933228402790714823803
   128 | 5 13 17 97 401 769 1153 3041 14177 121899667073 1607133116929 36629538145348481
   129 | 19 431 30187 1196347 3310558219 636618868367 56748336081377426535170587
   130 | 5 5 11 53 79 131 211 4057 5981 29927 2010191 47891351 319716931 149166625778220961
   131 | 263 1210399177182288006201752262354382648158190136861552303421773
   132 | 5 7 13 19 23 23 61 67 199 331 35839 22270249 24939553 395297101 2414250301 40834167001
   133 | 29 71 1559 745181 19867541 60286285357068323908884890185142379901668431
   134 | 5 269 8556286591 12384629339 17685389279 174978917747 19487546413505693209
   135 | 19 211 1009 3571 397760329 3383270641 204521695561 6485668152547332660657841
   136 | 5 13 97 137 3673 7039 236641 129009091 93067415281 950310165593 1282861452271981
   137 | 715963 7743810553505190928448899 41856855393835922319755115319026643
   138 | 5 7 19 47 139 461 691 3083 13249 102811 174571 270619 2002867877 1266021208542598810111
   139 | 180701 4064083 534791548469 1598789291028673291 3326254807627778280849547
   140 | 5 5 11 13 29 71 211 463 2521 4621 6091 13441 369181 18906721 392943879511 3330924131977261
   141 | 19 283 1129 303168989 77681973839 131479459318792575326390806103446996508857
   142 | 5 1279 5113 606341 67049419 378770204035162384997 111998979662707645844109121
   143 | 23 23 53 331 29927 639868373 110590649554458058129 8608106912640683724041725103
   144 | 5 7 13 17 19 37 61 73 97 181 401 577 1009 2593 3169 3889 5521 27793 41432641 25169360989905069409
   145 | 211 89611 208511 68629840493971 11656397356111561 482760636131855627222316551
   146 | 5 293 439 22777 3606347 645845309 374846134168397471243 357153955800796052994163
   147 | 19 29 43 71 197 883 6217 3566809 5935273 589955028851094677 603113129008172292789931
   148 | 5 13 149 7549 21313 8891471 3094090369 50642213021 604408111852283 31330151333999377
   149 | 363503977 9469970353 35826894687127246804985548437808941002293995812091691 
   150 | 5 5 5 7 11 19 31 101 151 211 241 601 751 1051 1201 3571 6151 513101 39756701 19679141551 16751715789451 
   151 | 907 4229 5957857 31257864813993763009 1553871519815521574742646118801067039341
   152 | 5 13 97 419 1559 555029 745181 143350267555241 103911691734684541 131233622361283804841
   153 | 19 307 1009 3163 129009091 904841491 45606072452936380486921 100798517038294835716321
   154 | 5 23 23 29 71 331 463 5237 35839 135367 173713 117699514703 24634250588641 2805980251094900881
   155 | 211 311 617671248800299 2218167055670022437734191976031585121031497411717039341
   156 | 5 7 13 13 19 53 61 79 157 313 1093 1873 4057 29927 32917 357241 1011271 13761229 34959235741 134473349011
   157 | 24325267 34316843565107624715057451342247 969330861796869994456492130438574359
   158 | 5 317 3793 146309 443742053 3709120153 157531818764909 1578428033020043 6743424997709927
   159 | 19 486225730787001529 19383245658672820642055731 40668809718666344663272025438059
   160 | 5 5 11 13 17 41 97 211 281 401 3041 3121 4621 14177 191408953253761 1783433557073281 17911723223817601
   161 | 29 47 71 9227233 30776761 2002867877 335750247682053586901 3546539189212321013014718087
   162 | 5 7 19 163 487 577 1009 7415227 377604937 397760329 48110884801223689 119401875833029529220991
   163 | 561047 3708366963827908951215846307996661 283519263045670202950666700299218504457
   164 | 5 13 83 821 11071 32309 35507 99139 13869481 223574641 102329189594547549657540565413396038701
   165 | 19 23 23 67 211 331 3571 342211 24939553 33000001 26833873441 143083295851 29231679455089165223401
   166 | 5 167 499 47890252291257128126044781281592543 798167678837469920188160718521149336927
   167 | 167884386911 284602839755962600307038183361142274453177384697761703968640951718869
   168 | 5 7 7 13 19 29 43 61 71 97 337 463 5521 6217 43261 78569 92233 263761 369181 3001769 8639401 1066416705314353
   169 | 53 29927 2297675840873089 117995171693834454246644003933945645889052923318362305633969
   170 | 5 5 11 211 3673 7039 22441 129009091 58797880998898354362629971 5051752485270228777139427773111
   171 | 19 19 457 1009 1559 300961 745181 8191816751977 8117487912611031245026653397581662995837458361
   172 | 5 13 173 431 947 5333 14449 593401 1196347 5200421 207593509 636618868367 67285658924969260260836929
   173 | 2423 3461 163555417229 25395520580004769792062089975593383731943129452467071848046383813
   174 | 5 7 19 59 1567 6209017 148466603 1522600921 26222472163 68629840493971 672870264554455488882904591
   175 | 29 71 101 211 701 6091 34651 18906721 39756701 315965685806893151 203315521506434771079581843014801
   176 | 5 13 17 23 23 89 97 331 401 617 881 5281 35839 2414250301 184879309516177 30576308069075829315234744136241
   177 | 19 15574619933833 1259430692227963 535750673607463853671855729 14130386091162273752461387579
   178 | 5 179 36847 4120081168939 87849394985353 1004217361647190454171 706132008101135602203621405289
   179 | 359 3581 138547 472561 15681120742669927371347500711133131 19238611434292026195045887544024913
   180 | 5 5 7 11 13 19 31 37 61 73 181 211 241 577 1009 2341 2791 3571 4621 24001 284041 3562381 127559071 85693614301 204521695561
   181 | 8689 145974198043 180177770641636417112546690128193917944439092140520910441370256179661913
   182 | 5 29 53 71 79 463 4057 29927 989353 12169249 856466339 22495663009 29602264147 41204133559341077510740829
   183 | 19 4027 5857 9883 93941 325009 203778431 11280909097 6643288986915481 995988534023541908441821015651
   184 | 5 13 47 97 461 2393 3083 3313 13249 53269 6827321 2002867877 12798522145252969 14961296951860360853213161489
   185 | 211 8891471 1350353111 50642213021 144283286596886504823039088995815387788435308012527125576301
   186 | 5 7 19 1489 3659 22674269 41388734137 11397459660241 617671248800299 4782006685338511 485158402948122523
   187 | 23 23 331 129009091 5052195279310415953531 1459790465782658058025281463338798630403528636354133521
   188 | 5 13 1129 6299 12973 28201 75577 303168989 77681973839 255629293957 11170373961701 581485707003066089360821
   189 | 19 29 43 71 379 1009 3529 6217 110251 27950833 278775379 397760329 59512056109507 5224174896652377110521061329
   190 | 5 5 11 191 211 419 1559 555029 745181 998071 1020491 3301631 1067908301 30489635189071 13720405721466007835103211
   191 | 383 9551 18719 68465468069 164209492620436363 17529097123947879503762992973014217865235532554975171
   192 | 5 7 13 17 19 61 97 193 401 1153 3041 5521 14177 38977 41432641 245953921 1607133116929 3433675861649849282330674248961
