
Examples of 5-tuples of elements of S_6 from whose elements one can form
exactly k distinct products in which every factor occurs exactly once:

    k =  77: (1,2), (1,2,3), (1,5), (2,3,4), (2,6)(3,4,5)
    k =  78: (1,2), (1,2)(3,4), (2,3), (2,4), (2,5)(4,6)
    k =  79: (1,2,3), (1,2,3,4), (1,5), (2,3,4), (3,6,5,4)
    k =  80: (1,2,3), (1,2,3,4), (1,5), (2,3,4), (2,6,3,4,5)
    k =  81: (1,2,3), (1,2,3,4), (1,5), (2,3,4), (3,6)(4,5)
    k =  82: (1,2,3), (1,2,3,4), (1,5), (2,3,4), (2,6)(3,4,5)
    k =  83: (1,2,3), (1,2,3,4), (1,5), (2,3,4), (1,3,4,5,2,6)
    k =  84: (1,2,3), (1,2,3,4), (1,5), (2,3,4), (1,2)(3,6,4,5)
    k =  85: (1,2,3), (1,2,3,4), (1,5), (2,3), (1,6)(3,4)
    k =  86: (1,2)(3,4), (1,2,3,4), (1,2,4,3), (1,5), (2,6,3,4,5)
    k =  87: (1,2)(3,4), (1,2,3,4), (1,2,4,3), (1,5), (1,2)(4,6,5)
    k =  88: (1,2)(3,4), (1,2,3,4), (1,2,4,3), (1,5), (1,3,6,2,4,5)
    k =  89: (1,2)(3,4), (1,2,3,4), (1,2,4,3), (1,5), (2,5,3,4,6)
    k =  90: (1,2)(3,4), (1,2,3,4), (1,2,4,3), (1,5), (2,3,5,4,6)
    k =  91: (1,2)(3,4), (1,2,3,4), (1,2,4,3), (1,5), (1,3,5,6,2,4)
    k =  92: (1,2)(3,4), (1,2,3,4), (1,2,4,3), (1,5), (1,6)(2,3,5,4)
    k =  93: (1,2)(3,4), (1,2,3,4), (1,2,4,3), (1,5), (1,6,2)(4,5)
    k =  94: (1,2)(3,4), (1,2,3,4), (1,2,4,3), (1,5), (1,6,4,5,2)
    k =  95: (1,2), (1,2,3), (1,2,3,4), (1,5), (2,6)(4,5)
    k =  96: (1,2)(3,4), (1,2,3,4), (1,2,4,3), (1,5), (2,6)(3,4,5)
    k =  97: (1,2,3,4), (1,2,4,3), (1,3,2,4), (1,5), (2,4)(3,5,6)
    k =  98: (1,2,3,4), (1,2,4,3), (1,3,2,4), (1,5), (2,3,5)(4,6)
    k =  99: (1,2,3,4), (1,2,4,3), (1,3,2,4), (1,5), (2,6,4,5,3)
    k = 100: (1,2,3,4), (1,2,4,3), (1,3,2,4), (1,5), (1,2)(3,6,4,5)
    k = 101: (1,2,3,4), (1,2,4,3), (1,3,2,4), (1,5), (1,3,5,2,4,6)
    k = 102: (1,2,3,4), (1,2,4,3), (1,3,2,4), (1,5), (1,2,5,3,4,6)
    k = 103: (1,2,3), (1,2,3,4), (1,5)(3,4), (2,4,3), (1,3,5,4,2,6)
    k = 104: (1,2)(3,4), (1,3), (1,4), (1,5), (1,3,6,4)(2,5)
    k = 105: (1,2)(4,5), (1,5)(4,6), (2,3,5), (2,4), (3,4)
    k = 106: (1,2)(3,4), (1,3), (1,4), (1,5), (1,6)(2,5)
    k = 107: (1,2,3), (1,2,3,4), (1,5)(3,4), (2,4,3), (1,6)(2,4,5,3)
    k = 108: (1,2,3), (1,2,3,4), (1,5)(3,4), (2,4,3), (1,6)(3,5,4)
    k = 109: (1,2,3), (1,2,3,4), (1,5)(3,4), (2,4,3), (1,6)(3,5)
    k = 110: (1,2,3,4), (1,3)(5,6), (2,5), (3,5), (4,5)
    k = 111: (1,2)(4,5), (1,3,4)(2,6), (2,3,4,5), (2,3,5,4), (2,4,3,5)
    k = 112: (1,2)(3,4), (1,2,3,4), (1,4)(2,6)(3,5), (2,5,3,4), (2,5)(3,4)
    k = 113: (1,2)(4,5), (1,2,3,4), (1,4)(5,6), (2,5), (3,5)
    k = 114: (1,2,3,5), (1,2,4)(3,5), (1,3)(4,5), (1,6,2,5), (2,3)(4,5),
    k = 115: (1,2)(3,4,5), (1,3)(4,5), (1,5,6)(3,4), (2,4)(3,5), (2,5)
    k = 116: (1,2,3,4), (1,2,3,5,4), (1,5)(2,6), (2,3,4), (2,5)(3,4)
    k = 117: ?
    k = 118: (1,2)(3,4,5), (1,3)(4,5), (1,2,5,6), (2,4)(3,5), (2,5)
    k = 119: ?
    k = 120: (1,2), (1,3), (1,4), (1,5), (1,6)
